Comment ID,no.,Comment Text,Themes,Sentiment,Emotion Detection ,Tone,Does the comment mention specific media content? 0 = No 1 = Yes,- If Y: what content?,- If Y: what is the general attitude toward this media content? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear,"- - If positive, what does the author like about this content? ","- - If negative, what does the author dislike about this content? ",Does the comment mention gender or gender roles? 0 = No 1 = Yes,- If Y: How would you characterize the gender roles? 1= Women do domestic/care work; 2=Women have limited economic freedom; 3= Women have limited leadership; 4=Women are in subservient roles; 5=Women do not discuss sex or reproductive health; 5=Men are sexual aggressors; 6=Men are leaders; 7=Men are violent; 8=Men are primary breadwinners,- If Y: name any other gender themes and topics addressed in the comment: ,- If Y: What is the general attitude expressed toward discussed gender norms? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear ,- If Y: What is the general attitude expressed toward women? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ,"- If Y: Does the comment use collective framing (“we,” “our society,” “everyone knows”) or individual framing (“I,” “my experience”) in discussing gender/gender roles? 1 = Collective, 2 = Individual, 3 = Can't tell/Does not apply","- If Y: Does the comment contest or reproduce cultural stereotypes around gender? 0 = Contest, 1 = Reproduce, 3 = Unclear/Neither","Does the comment mention race, ethnicity, nationality, language, or caste in relation to the media content ? 0 = No 1 = Yes","- If Y,  which? _____","- If Y: What is the general attitude expressed toward this race, ethnicity, nationality, or language? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ",Does the comment include any sexist or derogatory language?,"- If Y,  provide a quote","What emotions does the comment generally contain? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion","What emotions does the author express toward the media content? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion",Does the comment indicate that the author acquired new knowledge or information by watching?  0 = No 1 = Yes,- If Y: what did they learn?,Did the comment indicate that the author had existing knowledge reinforced by watching? 0 = No 1 = Yes,- If Y: what knowledge or information was reinforced?,Are there any calls to action in the comment (telling readers to do something)?  0 = No 1 = Yes,"- If Y, what is it calling readers to do?","Does the author share any information in the comment (e.g., share a fact, a link)? 0 = No 1 = Yes","- If Y, what information is shared?","Does the author advocate for anything in the comment (e.g., support a cause)? 0 = No 1 = Yes","- If Y, what do they advocate for?","Does the author correct any information in the comment (e.g., say that something is incorrect)? 0 = No 1 = Yes","- If Y, what do they correct?","Does the comment's author identify themselves in any way (name their gender, profession, location, etc)?  0 = No 1 = Yes","- If Y,  is profession mentioned?  0 = No 1 = Yes","- - If Y, what is the profession?","- If Y, is location mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is race/ethnicity mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is gender mentioned?  0 = No 1 = Yes","- - If Y, what gender?        1=Female, 2=Male, 3=Non-binary                                                                                                                                                                                                ",Notes
1.82E+18,29,"The other African Real Housewives show can cut from the #RHONairobi cloth. This week was the finale, and next week is part one of the reunion. Not this thing of having to wait at least 2 weeks for a reunion.","Production, Casting, and Franchise Critique (29)",Neutral (29),The emotion expressed in this comment is neutrality and information-sharing. (29),Comparative / Informational (29),1 (29),RHONairobi scheduling / reunion format (29),2 (29),– (29),– (29),0 (29),– (29),– (29),2 (29),2 (29),3 (29),3 (29),0 (29),– (29),– (29),0 (29),– (29),10 (29),10 (29),0 (29),– (29),1 (29),Reinforced belief that reunion scheduling and production choices are inconsistent (29),0 (29),– (29),1 [29],Shares information about finale and reunion scheduling (29),1 (29),Advocates improved scheduling and consistency across franchises (29),0 (29),– (29),0 (29),,,,,,,,,
1.82E+18,30,This thing of Farah always want to mediate yet they hate on her is sad… She needs to let these women be cause they never have her back when she’s in hot soup… #RHONairobi,"Gender Norms, Respectability, and Womanhood (30)",Negative (30),The emotion expressed in this comment is sadness and concern. (30),Sympathetic / Advisory (30),1 (30),RHONairobi cast dynamics (Farah) (30),3 (30),– (30),Lack of support and unfair treatment of Farah (30),1 (30),4 (30),Emotional labor and mediation expectations on women (30),3 (30),3 (30),2 (30),0 (30),0 (30),– (30),– (30),0 (30),– (30),4 (30),4 (30),0 (30),– (30),1 (30),Reinforced belief that mediating personalities are repeatedly undermined (30),0 (30),– (30),0 [30],– (30),0 (30),– (30),0 (30),– (30),0 (30),,,,,,,,,
1.82E+18,31,I don’t understand why Zena actually went on that girl’s trip. Can she grow up honestly or like Rejah just go home. Some women just need to grow up because it’s giving jealous 6year old vibes #RHONairobi,"Gender Norms, Respectability, and Womanhood (31)",Negative (31),The emotion expressed in this comment is frustration and irritation. (31),Judgmental / Condescending (31),1 (31),RHONairobi girls’ trip storyline (31),3 (31),– (31),Immaturity and jealous behavior (31),1 (31),4 (31),Infantilization of women’s behavior (31),3 (31),3 (31),2 (31),1 (31),0 (31),– (31),– (31),1 (31),“grow up… jealous 6year old vibes” (31),1 (31),1 (31),0 (31),– (31),1 (31),Reinforced belief that emotional immaturity among cast members fuels conflict (31),0 (31),– (31),0 [31],– (31),0 (31),– (31),0 (31),– (31),0 (31),,,,,,,,,
1.82E+18,32,"Minne, Dr C and Vera are such mean girls. Their sole mission is to get the new girls off the show so that they are seen as strong women who survived the show 🙄🙄 #RHONairobi","Interpersonal Conflict, Bullying, and Aggression (32)",Negative (32),The emotion expressed in this comment is anger and hostility. (32),Accusatory / Condemning (32),1 (32),RHONairobi bullying alliances (32),3 (32),– (32),Mean-girl alliances and targeting newcomers (32),1 (32),3 (32),Gatekeeping womanhood and strength (32),3 (32),3 (32),1 (32),1 (32),0 (32),– (32),– (32),1 (32),“mean girls” (32),1 (32),1 (32),0 (32),– (32),1 (32),Reinforced belief that senior cast members exclude newcomers to retain dominance (32),0 (32),– (32),0 [32],– (32),1 (32),Advocates critique of mean-girl behavior and exclusion of newcomers (32),0 (32),– (32),0 (32),,,,,,,,,
1.82E+18,33,"@ShowmaxKenya Hio fala ilikua na pesa hapo 2019 karibu itukojolee juu sisi ni maskini... Nigga exchanges women on a regular, flaunting on a certain 2 seater area za kahawa.","Race, Culture, and National Representation (33)",Negative (33),The emotion expressed in this comment is anger and resentment. (33),Boastful / Provocative (33),0 (33),– (33),– (33),– (33),– (33),1 (33),5 (33),Sexual exploitation and transactional relationships (33),3 (33),3 (33),1 (33),1 (33),1 (33),Black / African identity slur (“Nigga”) (33),3 (33),1 (33),“Nigga exchanges women on a regular” (33),1 (33),1 (33),1 (33),Learned about alleged past wealth and behavior of a cast-associated man (33),1 (33),Reinforced belief that wealth and gender power dynamics influence behavior (33),0 (33),– (33),1 [33],Shares anecdotal information about a man’s past wealth and behavior (33),0 (33),– (33),0 (33),– (33),0 (33),,,,,,,,,
1.82E+18,34,"mimi and Dr C must go , they are not reality Queens , for 2 seasons and they are still doing same shit, can we have real women  #RHONairobi","Gender Norms, Respectability, and Womanhood (34)",Negative (34),The emotion expressed in this comment is frustration and rejection. (34),Dismissive / Critical (34),1 (34),RHONairobi casting criticism (34),3 (34),– (34),"Repetitive cast, lack of growth, poor reality-TV quality (34)",1 (34),3 (34),Rejection of inauthentic female archetypes (34),3 (34),3 (34),2 (34),1 (34),0 (34),– (34),– (34),1 (34),“not reality Queens” (34),1 (34),1 (34),0 (34),– (34),1 (34),Reinforced belief that some cast members lack authenticity and growth (34),1 (34),Calls for removal of specific cast members from the show (34),0 [34],– (34),1 (34),Advocates removal of long-standing cast members seen as inauthentic (34),0 (34),– (34),0 (34),,,,,,,,,
1.82E+18,35,"If we’re being honest, Dr. C is undoubtedly carrying the African real housewives franchise on her back. She’s a true housewife, she’s funny, delusional and knows how to provoke the girls and bring drama. She’s the true villain #RHONairobi","Positive Identification, Praise, and Aspiration (35)",Positive (35),The emotion expressed in this comment is admiration and amusement. (35),Admiring / Playfully Critical (35),1 (35),RHONairobi cast centrality (Dr C) (35),4 (35),Dr C’s entertainment value and central role in the show (35),– (35),1 (35),6 (35),Villainization of powerful women (35),4 (35),4 (35),2 (35),0 (35),0 (35),– (35),– (35),0 (35),“true villain” (35),9 (35),9 (35),0 (35),– (35),1 (35),Reinforced belief that Dr. C is central to sustaining viewer interest (35),0 (35),– (35),0 [35],– (35),1 (35),Advocates centering Dr. C as the main driver of the show (35),0 (35),– (35),0 (35),,,,,,,,,
1.82E+18,36,This wasn’t a good season compared to the first one. The girls lack class and self-control. Dr C had no choice but to single-handedly carry this show on her back. I don’t know a better housewife. I hope that they rethink their casting for the next season #RHONairobi,"Production, Casting, and Franchise Critique (36)",Negative (36),The emotion expressed in this comment is disappointment and critique. (36),Critical / Disappointed (36),1 (36),RHONairobi season quality / casting (36),3 (36),– (36),"Low class, lack of self-control, weak casting (36)",1 (36),3 (36),Respectability politics and class control (36),3 (36),3 (36),2 (36),0 (36),0 (36),– (36),– (36),1 (36),“lack class and self-control” (36),1 (36),1 (36),0 (36),– (36),1 (36),"Reinforced belief that the season lacked restraint, class, and emotional control (36)",0 (36),– (36),0 [36],– (36),1 (36),Advocates recasting and higher standards for behavior/class (36),0 (36),– (36),0 (36),,,,,,,,,
1.82E+18,37,These women are behaving so badly. You can’t make being late part of your character like it’s a good thing. Some East Africans are well mannered but these one no #RHONairobi,"Gender Norms, Respectability, and Womanhood (37)",Negative (37),The emotion expressed in this comment is disapproval and irritation. (37),Moralizing / Disapproving (37),1 (37),RHONairobi cast behavior norms (37),3 (37),– (37),Disrespectful behavior and poor manners (37),1 (37),3 (37),Cultural norms around punctuality and decorum (37),3 (37),3 (37),1 (37),1 (37),1 (37),East African identity (37),2 (37),1 (37),“behaving so badly” (37),1 (37),1 (37),0 (37),– (37),1 (37),Reinforced belief that lateness and disrespect are normalized behaviors (37),0 (37),– (37),0 [37],– (37),1 (37),Advocates better manners and accountability for lateness (37),0 (37),– (37),0 (37),,,,,,,,,
1.81E+18,38,"Rejah is so pretty, had hope for her as a housewife💀 but from the get go she seemed so lost in this group &amp; looked distressed.
She never even mentioned that she's married👀.
Now with the husband suing the show clearly things ain't right at home...
#RHONairobi","Gender Norms, Respectability, and Womanhood (38)",Neutral (38),The emotion expressed in this comment is sadness and concern. (38),Concerned / Reflective (38),1 (38),RHONairobi Rejah personal storyline (38),4 (38),– (38),– (38),1 (38),"4,8 (38)",Marriage secrecy and female respectability (38),4 (38),4 (38),2 (38),3 (38),0 (38),– (38),– (38),0 (38),– (38),4 (38),4 (38),1 (38),Learned that Rejah appeared distressed and had unresolved marital issues (38),0 (38),– (38),0 (38),– (38),1 [38],Shares speculation about Rejah’s marital status and distress (38),0 (38),– (38),0 (38),– (38),0 (38),,,,,,,,,
1.81E+18,39,Honestly Dr. C is deliberately antagonizing these women to get a reaction…and it is so sick &amp; disgusting 🤮 And then Minne…a very pathetic friend tbh #RHONairobi https://t.co/BKygEHyRUP,"Interpersonal Conflict, Bullying, and Aggression (39)",Negative (39),The emotion expressed in this comment is disgust and anger. (39),Hostile / Disgusted (39),1 (39),"RHONairobi antagonism (Dr C, Minne) (39)",3 (39),– (39),Deliberate provocation and toxic dynamics (39),1 (39),3 (39),Provocation as feminine power tactic (39),3 (39),3 (39),2 (39),0 (39),0 (39),– (39),– (39),1 (39),“sick & disgusting” (39),3 (39),3 (39),0 (39),– (39),1 (39),Reinforced belief that provocation is used intentionally to generate reactions (39),0 (39),– (39),1 [39],Shares opinion plus a link criticizing cast behavior (39),1 (39),Advocates calling out antagonistic behavior on screen (39),0 (39),– (39),0 (39),,,,,,,,,
1.81E+18,40,"Looks like Rejah just came with a lot of drama. Her husband is suing her &amp; the show as she filmed in his house with their kids without his consent. To his knowledge, she withdrew from the show after surgery only to find out she continued to film without his consent 🙆🏽‍♀️#RHONairobi https://t.co/jXHGNdYkky","Production, Casting, and Franchise Critique (40)",Negative (40),The emotion expressed in this comment is concern and unease. (40),Concerned / Informational (40),1 (40),"RHONairobi legal controversy (Rejah, husband) (40)",3 (40),– (40),Legal drama and unethical filming practices (40),1 (40),"4,8 (40)","Consent, motherhood, and domestic privacy (40)",3 (40),3 (40),2 (40),0 (40),0 (40),– (40),– (40),0 (40),– (40),4 (40),4 (40),1 (40),Learned that Rejah’s husband is suing over filming without consent (40),1 (40),Reinforced belief that off-screen legal and family conflicts affect the show (40),0 (40),– (40),1 [40],Shares details about a legal dispute involving Rejah’s husband and filming consent (40),0 (40),– (40),1 (40),Corrects the assumption that Rejah stopped filming by stating she continued filming without consent (40),0 (40),,,,,,,,,
1.81E+18,41,Dr C seems like a powerful and influential someone in Nairobi. She has contacts and plugs people. I suspect that’s why Minnie and Vera will keep fighting or gossiping about her but never ever cut ties with her. They never burn the bridge #RHONairobi,"Power, Influence, and Strategic Behavior (41)",Neutral (41),The emotion expressed in this comment is suspicion and calculation. (41),Analytical / Speculative (41),1 (41),RHONairobi power dynamics (Dr C) (41),2 (41),– (41),– (41),1 (41),6 (41),"Power, influence, and social capital among women (41)",2 (41),2 (41),2 (41),3 (41),0 (41),– (41),– (41),0 (41),– (41),1 (41),1 (41),0 (41),– (41),1 (41),Reinforced belief that power and influence shape interpersonal dynamics (41),0 (41),– (41),0 [41],– (41),0 (41),– (41),0 (41),– (41),0 (41),,,,,,,,,
1.81E+18,42,These women all bluetoothed their hate for Dr C. I’m trying hard to think of what Dr C did to Rajah before the sniffing comments?? Child soldier comments are not that deep. She should have clarified and moved on .. #RHONairobi,"Interpersonal Conflict, Bullying, and Aggression (42)",Neutral (42),The emotion expressed in this comment is frustration and confusion. (42),Defensive / Minimizing (42),1 (42),RHONairobi cast conflict context (42),3 (42),– (42),Overreaction and refusal to move on from conflict (42),1 (42),3 (42),Weaponization of past statements against women (42),3 (42),3 (42),2 (42),0 (42),0 (42),– (42),– (42),0 (42),“bluetoothed their hate” (42),2 (42),2 (42),0 (42),– (42),1 (42),Reinforced belief that miscommunication escalates unnecessarily (42),0 (42),– (42),0 [42],– (42),0 (42),– (42),0 (42),– (42),0 (42),,,,,,,,,
1.81E+18,43,"Zena takes everything Dr C says to heart. Shame, she's not cut out for this group. She should have fun with the drama #RHONairobi","Gender Norms, Respectability, and Womanhood (43)",Negative (43),The emotion expressed in this comment is disappointment and pity. (43),Critical / Dismissive (43),1 (43),RHONairobi cast fit / group dynamics (43),3 (43),– (43),Inability to handle reality-TV drama maturely (43),1 (43),4 (43),Emotional fragility vs resilience expectations (43),3 (43),3 (43),2 (43),1 (43),0 (43),– (43),– (43),0 (43),“not cut out for this group” (43),4 (43),4 (43),0 (43),– (43),1 (43),Reinforced belief that emotional resilience is required to survive the group (43),0 (43),– (43),0 [43],– (43),0 (43),– (43),0 (43),– (43),0 (43),,,,,,,,,
1.81E+18,44,"It is really not safe here , poor Farah is cut now #RHONairobi","Interpersonal Conflict, Bullying, and Aggression (44)",Negative (44),The emotion expressed in this comment is fear and alarm. (44),Alarmed / Concerned (44),1 (44),RHONairobi violent incident (Farah) (44),3 (44),– (44),"Unsafe, violent environment (44)",1 (44),7 (44),Gendered safety and violence (44),3 (44),3 (44),1 (44),0 (44),0 (44),– (44),– (44),0 (44),– (44),4 (44),4 (44),1 (44),Learned that Farah was physically injured during conflict (44),1 (44),Reinforced belief that physical harm has become an accepted risk (44),0 (44),– (44),1 [44],Shares information that Farah was injured during an incident (44),0 (44),– (44),0 (44),– (44),0 (44),,,,,,,,,
1.81E+18,45,Minne had no problem with the cultural implications of Zena bringing Dr.C a gifts that portrayed her as a witch but Dr.C is wishing Zena death with that coffin? Cut the bs and double standards! #RHONairobi,"Morality, Hypocrisy, and Authenticity (45)",Negative (45),The emotion expressed in this comment is anger and moral outrage. (45),Accusatory / Indignant (45),1 (45),"RHONairobi symbolism conflict (coffin, witch gift) (45)",4 (45),– (45),Double standards and symbolic threats (45),1 (45),4 (45),Symbolic violence and cultural double standards (45),3 (45),3 (45),2 (45),0 (45),0 (45),– (45),– (45),1 (45),“cut the bs and double standards” (45),2 (45),2 (45),0 (45),– (45),1 (45),Reinforced belief that double standards are applied selectively (45),0 (45),– (45),0 [45],– (45),1 (45),Advocates calling out double standards and hypocrisy (45),0 (45),– (45),0 (45),,,,,,,,,
1.81E+18,46,"Farah and Xenah's yellows looks are super cute. 

#RHONairobi","Gender Norms, Respectability, and Womanhood (46)",Positive (46),The emotion expressed in this comment is joy and appreciation. (46),Complimentary / Lighthearted (46),1 (46),"RHONairobi fashion (Farah, Xenah) (46)",1 (46),Fashion styling and coordinated looks (46),– (46),1 (46),– (46),Celebration of feminine aesthetics (46),1 (46),1 (46),3 (46),3 (46),0 (46),– (46),– (46),0 (46),– (46),9 (46),9 (46),0 (46),– (46),0 (46),– (46),0 (46),– (46),0 [46],– (46),0 (46),– (46),0 (46),– (46),0 (46),,,,,,,,,
1.81E+18,47,"Gathoni ni cucu utonaga mbele, amepewa pesa na Kasongo Maringo ikamshika , we are waiting her to take that young man to court, if she is woman enough let her do it, Shame on her.","Gender Norms, Respectability, and Womanhood (47)",Negative (47),The emotion expressed in this comment is anger and condemnation. (47),Judgmental / Shaming (47),0 (47),– (47),– (47),– (47),Public shaming and perceived cowardice (47),1 (47),4 (47),Female accountability and legal responsibility (47),3 (47),3 (47),1 (47),1 (47),0 (47),– (47),– (47),1 (47),“if she is woman enough” (47),5 (47),5 (47),0 (47),– (47),1 (47),Reinforced belief that women are harshly judged for perceived moral failures (47),1 (47),Encourages legal action or accountability (47),1 [47],Shares anecdotal claim about money and legal action (47),0 (47),– (47),0 (47),– (47),0 (47),,,,,,,,,
1.99E+18,48,"Ronu made this possible. Even when most of the women under this thread threw them under the bus for their hypocritical non-Yoruba friends… even when they blocked them, saying they were “doing too much”… even with all the insults and slurs thrown at them, they still stood their ground and did what was right. The guilt will always be on you all.","Race, Culture, and National Representation (48)",Positive (48),The emotion expressed in this comment is pride and moral conviction. (48),Moralizing / Accusatory (48),0 (48),– (48),– (48),– (48),– (48),1 (48),– (48),Female solidarity and activism (48),1 (48),1 (48),1 (48),0 (48),1 (48),Non-Yoruba identity / ethnic reference (48),4 (48),0 (48),– (48),9 (48),9 (48),0 (48),– (48),0 (48),– (48),0 (48),– (48),1 [48],Shares contextual background about online harassment and solidarity (48),1 (48),Advocates solidarity and standing ground against harassment (48),0 (48),– (48),0 (48),,,,,,,,,
1.81E+18,49,"But Dr C knows how Rejah reacts so she can't act surprised that this happened.

Minnie shut it, you threw water and tissue and women.

Vera stop it's not just the new ladies.

#RHONairobi","Interpersonal Conflict, Bullying, and Aggression (49)",Negative (49),The emotion expressed in this comment is frustration and reprimand. (49),Directive / Scolding (49),1 (49),RHONairobi conflict escalation (49),3 (49),– (49),Escalating conflicts and lack of accountability (49),1 (49),7 (49),Escalation of female conflict (49),3 (49),3 (49),1 (49),0 (49),0 (49),– (49),– (49),1 (49),“shut it” (49),2 (49),2 (49),0 (49),– (49),1 (49),Reinforced belief that aggressive behavior is excused within alliances (49),0 (49),– (49),0 [49],– (49),0 (49),– (49),0 (49),– (49),0 (49),,,,,,,,,
1.81E+18,50,"🤣🤣 Dr C how is it a character assassination?

Also Dr C she accepted your misinterpretation why can't you accept hers?

Also I mean doesn't Vera sell her nyash and don't you hook up women Dr C?

Dr C is definitely lying now.

#RHONairobi","Gender Norms, Respectability, and Womanhood (50)",Negative (50),The emotion expressed in this comment is anger and accusation. (50),Confrontational / Accusatory (50),1 (50),RHONairobi accusations / character disputes (50),3 (50),– (50),Dishonesty and character attacks (50),1 (50),5 (50),Sexual shaming and moral accusations (50),3 (50),3 (50),2 (50),1 (50),0 (50),– (50),– (50),1 (50),“sell her nyash… hook up women” (50),1 (50),1 (50),0 (50),– (50),1 (50),Reinforced belief that sexualized accusations are used as character attacks (50),0 (50),– (50),0 [50],– (50),0 (50),– (50),0 (50),– (50),0 (50),,,,,,,,,
1.81E+18,51,"Cute are those stainless steel water bottles customised?

Driving this far after landing is criminal.

#RHONairobi","Production, Casting, and Franchise Critique (51)",Neutral (51),The emotion expressed in this comment is neutrality and casual observation. (51),Casual / Observational (51),0 (51),– (51),– (51),– (51),– (51),0 (51),– (51),– (51),2 (51),2 (51),3 (51),3 (51),0 (51),– (51),– (51),0 (51),– (51),10 (51),10 (51),0 (51),– (51),0 (51),– (51),0 (51),– (51),0 [51],– (51),0 (51),– (51),0 (51),– (51),0 (51),,,,,,,,,
1.81E+18,52,"Dr C said I wanna see the call logs and now these women are pretending to love each other.

Minnie doesn't trust the lady who's been in her house and around her husband?

#RHONairobi","Interpersonal Conflict, Bullying, and Aggression (52)",Negative (52),The emotion expressed in this comment is suspicion and mistrust. (52),Suspicious / Critical (52),1 (52),RHONairobi trust issues (call logs) (52),3 (52),– (52),"Distrust, spying, and paranoia (52)",1 (52),"4,8 (52)",Surveillance of women’s relationships (52),3 (52),3 (52),2 (52),0 (52),0 (52),– (52),– (52),0 (52),– (52),2 (52),2 (52),0 (52),– (52),1 (52),Reinforced belief that distrust within marriages is exploited for drama (52),0 (52),– (52),0 [52],– (52),0 (52),– (52),0 (52),– (52),0 (52),,,,,,,,,
1.81E+18,53,The conversation Minnie and Dr C had was really good. She held Dr c accountable and she is not siding with violent women. I still think she didn’t want Dr C to spill anything else about Charles #Rhonairobi,"Gender Norms, Respectability, and Womanhood (53)",Neutral (53),The emotion expressed in this comment is approval and restraint. (53),Balanced / Reflective (53),1 (53),RHONairobi confrontation scene (53),4 (53),– (53),– (53),1 (53),6 (53),Female accountability without siding with violence (53),4 (53),4 (53),2 (53),0 (53),0 (53),– (53),– (53),0 (53),– (53),9 (53),9 (53),0 (53),– (53),1 (53),Reinforced belief that accountability conversations are rare but impactful (53),0 (53),– (53),0 [53],– (53),0 (53),– (53),0 (53),– (53),0 (53),,,,,,,,,
1.81E+18,54,I think Xena only has this energy towards Dr C because the other women also don’t like her. I don’t think she’d be this brave if it was just her and Dr C beefing #RHONairobi,"Interpersonal Conflict, Bullying, and Aggression (54)",Neutral (54),The emotion expressed in this comment is suspicion and social judgment. (54),Speculative / Observational (54),1 (54),RHONairobi group dynamics (54),2 (54),– (54),– (54),1 (54),3 (54),Peer-driven courage and mob mentality (54),3 (54),3 (54),2 (54),1 (54),0 (54),– (54),– (54),0 (54),– (54),1 (54),1 (54),0 (54),– (54),1 (54),Reinforced belief that group courage depends on majority backing (54),0 (54),– (54),0 [54],– (54),0 (54),– (54),0 (54),– (54),0 (54),,,,,,,,,
1.81E+18,55,"Hhayi guys! The amount of dilulu in Minne is concerning. She actually things she's the prettiest flower in the garden, that's why she thinks it's ok to bash Farrah's face. Even Miss Universe would not have that right speak this way about other women. #RHONairobi","Gender Norms, Respectability, and Womanhood (55)",Negative (55),The emotion expressed in this comment is anger and contempt. (55),Mocking / Condescending (55),1 (55),RHONairobi physical altercation (55),3 (55),– (55),Physical aggression and arrogance (55),1 (55),4 (55),Arrogance tied to beauty and desirability (55),3 (55),3 (55),2 (55),1 (55),0 (55),– (55),– (55),1 (55),“dilulu… bash Farrah’s face” (55),1 (55),1 (55),0 (55),– (55),1 (55),Reinforced belief that insecurity drives violent and abusive behavior (55),0 (55),– (55),0 [55],– (55),0 (55),– (55),0 (55),– (55),0 (55),,,,,,,,,
1.81E+18,56,"Zena, Vera and Minne are terrible women. Farrah doesn’t deserve to be treated that. The biggest bullies of note. Get them off my fucking screen. Such ghetto ass behaviour 🙄 #RHONairobi https://t.co/29AHmlqYrq","Interpersonal Conflict, Bullying, and Aggression (56)",Negative (56),The emotion expressed in this comment is anger and disgust. (56),Outraged / Condemning (56),1 (56),RHONairobi bullying narrative (56),3 (56),– (56),Bullying and mistreatment of Farah (56),1 (56),4 (56),Bullying and moral degradation of women (56),3 (56),3 (56),1 (56),0 (56),0 (56),– (56),– (56),1 (56),“terrible women… ghetto ass behaviour” (56),2 (56),2 (56),0 (56),– (56),1 (56),Reinforced belief that bullying of kinder cast members is normalized (56),0 (56),– (56),1 [56],Shares opinion labeling cast as bullies (56),1 (56),Advocates removing bullies from the show (56),0 (56),– (56),0 (56),,,,,,,,,
1.81E+18,57,"Hate watching #RHONairobi 
Dr. C should be slapped for that murder accusation. 
The casting director should bring us rich non working class women, i’m tired of seeing imenti fashion and fake brands on my tv. 
Hatutaki hustlers😭","Production, Casting, and Franchise Critique (57)",Negative (57),The emotion expressed in this comment is anger and condemnation. (57),Aggressive / Dismissive (57),1 (57),RHONairobi casting / class representation (57),3 (57),– (57),Classism and inauthentic representation (57),1 (57),"2,3 (57)",Classism and exclusion of “working-class” femininity (57),3 (57),3 (57),1 (57),1 (57),1 (57),Working-class / class-based identity framing (57),3 (57),1 (57),“should be slapped… fake brands” (57),3 (57),3 (57),0 (57),– (57),1 (57),Reinforced belief that the show rewards shock value over ethics (57),0 (57),– (57),0 [57],– (57),1 (57),"Advocates replacing cast with wealthier, more “classy” women (57)",0 (57),– (57),0 (57),,,,,,,,,
1.81E+18,58,"Why do all these crazy women always have to throw things at Dr C??? They all say mean things to each other. Why can't you speak like adults?
#RHONairobi","Interpersonal Conflict, Bullying, and Aggression (58)",Negative (58),The emotion expressed in this comment is frustration and disbelief. (58),Exasperated / Critical (58),1 (58),RHONairobi physical aggression (58),3 (58),– (58),Throwing objects and childish conflict (58),1 (58),7 (58),Normalization of physical aggression among women (58),3 (58),3 (58),1 (58),0 (58),0 (58),– (58),– (58),0 (58),“crazy women” (58),2 (58),2 (58),0 (58),– (58),1 (58),Reinforced belief that violence replaces dialogue in conflicts (58),0 (58),– (58),0 [58],– (58),0 (58),– (58),0 (58),– (58),0 (58),,,,,,,,,
1.81E+18,59,"I get women shading each other with class but throwing things at each other, flipping a whole table , shame ! Minnie using the fact that she is pregnant to disrespect people, The bar is beyond low . #RHON #RHONairobi","Gender Norms, Respectability, and Womanhood (59)",Negative (59),The emotion expressed in this comment is disgust and disappointment. (59),Disapproving / Moralizing (59),1 (59),RHONairobi table-flipping incident (59),3 (59),– (59),Physical fights and misuse of pregnancy status (59),1 (59),7 (59),Pregnancy used as moral shield (59),3 (59),3 (59),1 (59),0 (59),0 (59),– (59),– (59),1 (59),“bar is beyond low” (59),5 (59),5 (59),0 (59),– (59),1 (59),Reinforced belief that pregnancy is weaponized to excuse bad behavior (59),0 (59),– (59),0 [59],– (59),1 (59),Advocates condemning physical aggression and disrespect (59),0 (59),– (59),0 (59),,,,,,,,,
1.81E+18,60,"I just finished watching #RHONairobi  And what’s that damn , they need to bring us more classy women in the show .They must fire zena and Rejah mentally they are not prepared and they lack class for real .","Production, Casting, and Franchise Critique (60)",Negative (60),The emotion expressed in this comment is disappointment and frustration. (60),Dismissive / Critical (60),1 (60),RHONairobi casting expectations (60),3 (60),– (60),"Unprepared, unclassy cast members (60)",1 (60),3 (60),Gatekeeping who qualifies as a “real woman” (60),3 (60),3 (60),1 (60),0 (60),0 (60),– (60),– (60),1 (60),“lack class for real” (60),2 (60),2 (60),1 (60),Learned that some viewers perceive cast members as unprepared for the show (60),1 (60),Reinforced belief that casting choices lowered the show’s quality (60),1 (60),Calls for production to fire or replace cast members (60),0 [60],– (60),1 (60),Advocates firing specific cast members (60),0 (60),– (60),0 (60),,,,,,,,,
1.81E+18,61,Funny how she is always a part of the casualties of her acquaintances. When they want to fxck up their supposed enemies she is always there being sprayed with wine or almost being cut. 🤣🤣🤣 #RHONairobi,"Interpersonal Conflict, Bullying, and Aggression (61)",Neutral (61),The emotion expressed in this comment is amusement and irony. (61),Humorous / Ironic (61),1 (61),RHONairobi recurring violence (61),2 (61),– (61),Repetitive violence and chaos (61),1 (61),7 (61),Women as collateral in group conflicts (61),3 (61),3 (61),2 (61),3 (61),0 (61),– (61),– (61),0 (61),– (61),10 (61),10 (61),0 (61),– (61),1 (61),– (61),0 (61),– (61),0 [61],– (61),0 (61),– (61),0 (61),– (61),0 (61),,,,,,,,,
